date,pm25,pm10,o3,no2,so2,co,AQI,Classification
7/1/2023,49,25,14,4,1,16.78489327,49,Good
7/2/2023,44,34,12,5,1,16.78489327,44,Good
7/3/2023,53,36,5,7,1,16.78489327,53,Moderate
7/4/2023,60,32,13,8,1,16.78489327,60,Moderate
7/5/2023,63,22,11,4,1,16.78489327,63,Moderate
7/6/2023,46,28,16,5,1,16.78489327,46,Good
7/7/2023,58,26,14,5,1,16.78489327,58,Moderate
7/8/2023,49,29,8,5,1,16.78489327,49,Good
7/9/2023,59,31,10,5,1,16.78489327,59,Moderate
7/10/2023,55,28,18,6,1,16.78489327,55,Moderate
7/11/2023,54,25,17,6,1,16.78489327,54,Moderate
7/12/2023,57,34,13,4,1,16.78489327,57,Moderate
7/13/2023,54,28,7,2,1,16.78489327,54,Moderate
7/14/2023,50,29,7,1,1.906852961,16.78489327,50,Good
7/15/2023,55,30,7,1,1.906852961,16.78489327,55,Moderate
7/16/2023,62,18,9,1,1.906852961,16.78489327,62,Moderate
7/17/2023,33,22,8,1,1.906852961,16.78489327,33,Good
7/18/2023,32,22,8,2,1.906852961,16.78489327,32,Good
7/19/2023,45,26,8,4,1.906852961,16.78489327,45,Good
7/20/2023,55,30,10,3,1.906852961,16.78489327,55,Moderate
7/21/2023,53,23,12,4,1.906852961,16.78489327,53,Moderate
7/22/2023,46,26,10,3,1.906852961,16.78489327,46,Good
7/23/2023,56,21,9,3,1.906852961,16.78489327,56,Moderate
7/24/2023,47,22,9,2,1.906852961,16.78489327,47,Good
7/25/2023,39,21,9,1,1.906852961,16.78489327,39,Good
7/26/2023,43,22,8,1,1.906852961,16.78489327,43,Good
7/27/2023,43,18,7,1,1.906852961,16.78489327,43,Good
7/28/2023,37,22,8,2,1.906852961,16.78489327,37,Good
7/29/2023,45,23,7,3,1.906852961,16.78489327,45,Good
7/30/2023,46,24,8,3,1.906852961,16.78489327,46,Good
7/31/2023,47,31,9,3,1.906852961,16.78489327,47,Good
8/1/2023,51,39,7,4,1.906852961,16.78489327,51,Moderate
8/2/2023,65,31,10,3,1.906852961,16.78489327,65,Moderate
8/3/2023,56,36,8,3,1.906852961,16.78489327,56,Moderate
8/4/2023,61,32,10,3,1.906852961,16.78489327,61,Moderate
8/5/2023,58,27,8,3,1.906852961,16.78489327,58,Moderate
8/6/2023,53,27,8,3,1.906852961,16.78489327,53,Moderate
8/7/2023,54,29,8,3,1.906852961,16.78489327,54,Moderate
8/8/2023,53,38,9,4,1.906852961,16.78489327,53,Moderate
8/9/2023,62,27,10,2,1.906852961,16.78489327,62,Moderate
8/10/2023,49,26,9,3,1.906852961,16.78489327,49,Good
8/11/2023,52,34,8,2,1.906852961,16.78489327,52,Moderate
8/12/2023,57,31,8,1,1.906852961,16.78489327,57,Moderate
8/13/2023,57,32,8,2,1.906852961,16.78489327,57,Moderate
8/14/2023,60,28,7,3,1.906852961,16.78489327,60,Moderate
8/15/2023,57,23,15,2,1.906852961,16.78489327,57,Moderate
8/16/2023,49,29,12,3,1.906852961,16.78489327,49,Good
8/17/2023,55,31,12,2,1.906852961,16.78489327,55,Moderate
8/18/2023,56,32,13,2,1.906852961,16.78489327,56,Moderate
8/19/2023,64,32,14,2,1,16.78489327,64,Moderate
8/20/2023,60,26,12,5,1,16.78489327,60,Moderate
8/21/2023,51,22,14,4,1,16.78489327,51,Moderate
8/22/2023,47,21,11,4,1,16.78489327,47,Good
8/23/2023,41,23,9,4,1.906852961,16.78489327,41,Good
8/24/2023,40,22,12,2,1.906852961,16.78489327,40,Good
8/25/2023,44,24,10,2,1,16.78489327,44,Good
8/26/2023,45,22,9,2,1,16.78489327,45,Good
8/27/2023,50,25,12,2,1,16.78489327,50,Good
8/28/2023,51,27,14,4,1,16.78489327,51,Moderate
8/29/2023,55,30,16,6,1,16.78489327,55,Moderate
8/30/2023,57,38,14,3,1,16.78489327,57,Moderate
8/31/2023,70,26,14,3,1,16.78489327,70,Moderate
9/1/2023,55,38,15,3,1,16.78489327,55,Moderate
9/2/2023,71,28,16,3,1,16.78489327,71,Moderate
9/3/2023,57,21,15,3,1,16.78489327,57,Moderate
9/4/2023,42,19,11,3,1,16.78489327,42,Good
9/5/2023,38,20,12,3,1,16.78489327,38,Good
9/6/2023,37,25,12,2,1,16.78489327,37,Good
9/7/2023,49,20,11,2,1,16.78489327,49,Good
9/8/2023,40,19,13,2,1,16.78489327,40,Good
9/9/2023,40,23,10,3,1,16.78489327,40,Good
9/10/2023,40,18,8,3,1,16.78489327,40,Good
9/11/2023,39,24,8,4,1,16.78489327,39,Good
9/12/2023,48,25,10,4,1,16.78489327,48,Good
9/13/2023,50,23,9,3,1,16.78489327,50,Good
9/14/2023,47,22,9,3,1,16.78489327,47,Good
9/15/2023,40,18,10,3,1.906852961,16.78489327,40,Good
9/16/2023,38,20,12,3,1,16.78489327,38,Good
9/17/2023,38,20,10,4,1,16.78489327,38,Good
9/18/2023,37,24,11,5,1,16.78489327,37,Good
9/19/2023,52,31,13,5,1,16.78489327,52,Moderate
9/20/2023,59,21,10,3,1.906852961,16.78489327,59,Moderate
9/21/2023,42,22,13,4,1.906852961,16.78489327,42,Good
9/22/2023,45,30,16,5,1.906852961,16.78489327,45,Good
4/1/2023,72,36,9,4,1,16.78489327,72,Moderate
4/2/2023,70,48,15,6,1,16.78489327,70,Moderate
4/3/2023,92,54,17,5,1,16.78489327,92,Moderate
4/4/2023,110,60,18,6,1.906852961,16.78489327,110,Unhealthy for Sensitive Groups
4/5/2023,121,61,22,7,1,16.78489327,121,Unhealthy for Sensitive Groups
4/6/2023,122,53,6,9,1,16.78489327,122,Unhealthy for Sensitive Groups
4/7/2023,90,41,14,7,1,16.78489327,90,Moderate
4/8/2023,70,48,13,6,1,16.78489327,70,Moderate
4/9/2023,85,34,16,5,1,16.78489327,85,Moderate
4/10/2023,57,45,17,5,1,16.78489327,57,Moderate
4/11/2023,88,49,18,4,1,16.78489327,88,Moderate
4/12/2023,98,53,20,3,1,16.78489327,98,Moderate
4/13/2023,109,58,16,3,1,16.78489327,109,Unhealthy for Sensitive Groups
4/14/2023,120,64,20,4,1,16.78489327,120,Unhealthy for Sensitive Groups
4/15/2023,136,64,18,3,1,16.78489327,136,Unhealthy for Sensitive Groups
