date,pm25,pm10,o3,no2,so2,co,AQI,Classification
2023-07-01,76.0,59.0,134.0,12.0,1.0,4.0,230.48936170212767,Very Unhealthy
2023-07-07,54.0,15.0,47.0,8.0,1.0,1.0,146.55276381909547,Unhealthy for Sensitive Groups
2023-07-09,33.0,48.0,124.0,11.0,1.0,4.0,219.95744680851064,Very Unhealthy
2023-07-12,83.0,20.0,36.0,8.0,2.0,5.0,165.1991570073762,Unhealthy
2023-07-14,63.0,15.0,41.0,4.0,1.0,1.0,154.87249736564806,Unhealthy
2023-07-17,77.0,52.0,103.0,11.0,1.0,4.0,194.8421052631579,Unhealthy
2023-07-19,98.0,56.0,96.0,13.0,1.0,4.0,176.78947368421052,Unhealthy
2023-07-20,105.0,43.0,55.0,7.0,1.0,5.0,176.55848261327714,Unhealthy
2023-07-25,48.0,49.0,85.0,9.0,1.0,6.0,150.0,Unhealthy for Sensitive Groups
2023-07-26,104.0,42.0,89.0,12.0,1.0,5.0,176.04214963119074,Unhealthy
2023-07-27,94.0,22.0,46.0,9.0,1.0,4.0,170.87881981032666,Unhealthy
2023-07-29,69.0,8.0,30.0,5.0,1.0,4.0,157.9704952581665,Unhealthy
2023-07-31,51.0,36.0,35.0,7.0,1.0,5.0,139.16582914572865,Unhealthy for Sensitive Groups
2023-08-01,84.0,32.0,44.0,6.0,3.0,4.0,165.71548998946258,Unhealthy
2023-08-03,125.0,34.0,64.0,15.0,1.0,4.0,186.8851422550053,Unhealthy
2023-08-07,81.0,54.0,66.0,12.0,3.0,6.0,164.16649104320337,Unhealthy
2023-08-08,119.0,62.0,78.0,11.0,3.0,8.0,183.78714436248683,Unhealthy
2023-08-09,137.0,60.0,87.0,8.0,1.0,8.0,193.08113804004216,Unhealthy
2023-08-12,37.0,19.0,67.0,7.0,1.0,3.0,104.6934673366834,Unhealthy for Sensitive Groups
2023-08-22,27.0,30.0,70.0,9.0,1.0,2.0,100.0,Moderate
2023-08-23,40.0,18.0,42.0,8.0,1.0,2.0,112.08040201005024,Unhealthy for Sensitive Groups
2023-08-24,46.0,28.0,62.0,9.0,1.0,2.0,126.85427135678393,Unhealthy for Sensitive Groups
2023-09-14,78.0,56.0,88.0,21.0,1.0,4.0,162.61749209694415,Unhealthy
2023-09-15,96.0,71.0,93.0,22.0,1.0,6.0,171.91148577449948,Unhealthy
2023-09-16,138.0,70.0,66.0,13.0,1.0,6.0,193.59747102212856,Unhealthy
2023-09-17,147.0,37.0,72.0,12.0,1.0,4.0,198.2444678609062,Unhealthy
2023-09-18,80.0,25.0,25.0,16.0,1.0,3.0,163.65015806111697,Unhealthy
2023-09-22,38.0,37.0,41.0,15.0,1.0,4.0,107.15577889447236,Unhealthy for Sensitive Groups
2023-04-01,138.0,92.0,56.0,26.0,3.0,5.0,193.59747102212856,Unhealthy
2023-04-02,163.0,73.0,49.0,15.0,2.0,6.0,213.38738738738732,Very Unhealthy
2023-04-03,132.0,40.0,33.0,7.0,1.0,2.0,190.49947312961007,Unhealthy
2023-04-04,66.0,34.0,38.0,7.0,1.0,1.0,156.42149631190728,Unhealthy
2023-04-08,57.0,87.0,47.0,21.0,1.0,4.0,151.77449947312962,Unhealthy
2023-04-09,152.0,233.0,44.0,27.0,1.0,6.0,202.48648648648648,Very Unhealthy
2023-04-11,203.0,373.0,33.0,15.0,1.0,3.0,253.02702702702703,Very Unhealthy
2023-04-12,193.0,552.0,32.0,27.0,2.0,6.0,442.1899441340783,Hazardous
2023-04-13,224.0,189.0,41.0,14.0,2.0,4.0,273.8378378378378,Very Unhealthy
2023-04-16,76.0,92.0,42.0,16.0,3.0,4.0,161.58482613277133,Unhealthy
2023-04-17,128.0,71.0,55.0,21.0,1.0,4.0,188.43414120126448,Unhealthy
2023-04-18,99.0,77.0,81.0,18.0,1.0,4.0,173.4604847207587,Unhealthy
2023-04-19,104.0,73.0,38.0,8.0,1.0,2.0,176.04214963119074,Unhealthy
2023-04-21,43.0,29.0,27.0,6.0,1.0,2.0,119.46733668341707,Unhealthy for Sensitive Groups
2023-04-23,96.0,55.0,42.0,10.0,1.0,3.0,171.91148577449948,Unhealthy
2023-04-26,57.0,82.0,31.0,23.0,1.0,5.0,151.77449947312962,Unhealthy
2023-04-30,52.0,73.0,84.0,18.0,2.0,4.0,146.5,Unhealthy for Sensitive Groups
2023-05-01,120.0,74.0,87.0,13.0,1.0,4.0,184.3034773445732,Unhealthy
2023-05-02,112.0,75.0,100.0,16.0,2.0,6.0,187.1052631578948,Unhealthy
2023-05-03,121.0,49.0,37.0,9.0,1.0,6.0,184.81981032665965,Unhealthy
2023-05-06,37.0,30.0,48.0,16.0,1.0,5.0,104.6934673366834,Unhealthy for Sensitive Groups
2023-05-08,71.0,58.0,72.0,18.0,1.0,3.0,159.00316122233932,Unhealthy
2023-05-09,87.0,53.0,86.0,18.0,1.0,3.0,167.2644889357218,Unhealthy
2023-05-10,76.0,69.0,94.0,18.0,2.0,4.0,171.6315789473684,Unhealthy
2023-05-11,130.0,58.0,54.0,19.0,1.0,4.0,189.4668071654373,Unhealthy
2023-05-13,50.0,61.0,98.0,16.0,1.0,4.0,181.94736842105263,Unhealthy
2023-05-14,100.0,76.0,127.0,13.0,2.0,8.0,223.1170212765957,Very Unhealthy
2023-05-15,132.0,78.0,99.0,9.0,1.0,6.0,190.49947312961007,Unhealthy
2023-05-16,129.0,52.0,64.0,8.0,1.0,4.0,188.95047418335088,Unhealthy
