date,pm25,pm10,o3,no2,so2,co,AQI,Classification
2023-07-01,58.0,49.0,16.0,4.0,2.0,13.0,159.44827586206895,Unhealthy
2023-07-02,64.0,41.0,19.0,4.0,2.0,11.0,155.38883034773446,Unhealthy
2023-07-03,77.0,42.0,22.0,4.0,2.0,13.0,162.10115911485775,Unhealthy
2023-07-04,75.0,53.0,22.0,4.0,3.0,13.0,161.06849315068493,Unhealthy
2023-07-05,70.0,42.0,23.0,4.0,3.0,13.0,159.44827586206895,Unhealthy
2023-07-06,60.0,48.0,24.0,4.0,3.0,7.0,153.32349841938884,Unhealthy
2023-07-07,63.0,41.0,23.0,4.0,3.0,12.0,154.87249736564806,Unhealthy
2023-07-08,63.0,46.0,21.0,4.0,4.0,12.0,154.87249736564806,Unhealthy
2023-07-11,85.0,30.0,22.0,9.0,3.0,17.0,210.9664429530201,Very Unhealthy
2023-07-12,75.0,35.0,22.0,9.0,3.0,21.0,237.54362416107384,Very Unhealthy
2023-07-13,62.0,38.0,23.0,9.0,3.0,20.0,230.8993288590604,Very Unhealthy
2023-07-14,80.0,34.0,22.0,9.0,3.0,23.0,250.83221476510067,Very Unhealthy
2023-07-15,99.0,41.0,21.0,9.0,3.0,19.0,224.25503355704697,Very Unhealthy
2023-07-16,88.0,44.0,23.0,9.0,2.0,20.0,230.8993288590604,Very Unhealthy
2023-07-17,95.0,46.0,24.0,8.0,3.0,20.0,230.8993288590604,Very Unhealthy
2023-07-18,99.0,45.0,24.0,8.0,3.0,18.0,217.6107382550336,Very Unhealthy
2023-07-19,95.0,49.0,23.0,8.0,3.0,22.0,244.18791946308727,Very Unhealthy
2023-07-20,108.0,44.0,21.0,7.0,3.0,19.0,224.25503355704697,Very Unhealthy
2023-07-21,98.0,41.0,20.0,9.0,3.0,19.0,224.25503355704697,Very Unhealthy
2023-07-22,91.0,43.0,17.0,9.0,3.0,28.0,284.0536912751678,Very Unhealthy
2023-07-23,92.0,42.0,18.0,9.0,3.0,24.0,257.4765100671141,Very Unhealthy
