date,pm25,pm10,o3,no2,so2,co,AQI,Classification
2023-07-01,82.0,60.0,19.0,16.0,1.0,15.0,193.24137931034485,Unhealthy
2023-07-02,99.0,98.0,68.0,24.0,1.0,15.0,193.24137931034485,Unhealthy
2023-07-03,140.0,95.0,90.0,23.0,1.0,14.0,194.63013698630127,Unhealthy
2023-07-04,135.0,69.0,17.0,16.0,1.0,15.0,193.24137931034485,Unhealthy
2023-07-05,121.0,52.0,5.0,15.0,1.0,14.0,184.81981032665965,Unhealthy
2023-07-06,95.0,58.0,6.0,13.0,1.0,15.0,193.24137931034485,Unhealthy
2023-07-07,96.0,45.0,7.0,18.0,1.0,15.0,193.24137931034485,Unhealthy
2023-07-08,93.0,43.0,2.0,12.0,1.0,14.0,176.3448275862069,Unhealthy
2023-07-09,92.0,39.0,11.0,16.0,1.0,15.0,193.24137931034485,Unhealthy
2023-07-10,71.0,59.0,9.0,16.0,1.0,15.0,193.24137931034485,Unhealthy
2023-07-11,97.0,61.0,8.0,14.0,1.0,14.0,176.3448275862069,Unhealthy
2023-07-12,98.0,67.0,9.0,13.0,1.0,14.0,176.3448275862069,Unhealthy
2023-07-21,128.0,68.0,4.0,3.0,1.0,8.0,188.43414120126448,Unhealthy
2023-07-22,111.0,57.0,4.0,4.0,1.0,9.0,179.65648050579557,Unhealthy
2023-07-23,87.0,61.0,6.0,4.0,1.0,9.0,167.2644889357218,Unhealthy
2023-07-24,95.0,78.0,4.0,4.0,1.0,11.0,171.39515279241306,Unhealthy
2023-07-25,130.0,46.0,7.0,8.0,1.0,10.0,189.4668071654373,Unhealthy
2023-07-26,83.0,70.0,13.0,9.0,1.0,10.0,165.1991570073762,Unhealthy
2023-07-27,118.0,60.0,10.0,7.0,1.0,8.0,183.2708113804004,Unhealthy
2023-07-28,96.0,33.0,3.0,6.0,1.0,9.0,171.91148577449948,Unhealthy
2023-07-29,55.0,46.0,11.0,6.0,1.0,9.0,149.01507537688445,Unhealthy for Sensitive Groups
2023-07-30,66.0,72.0,9.0,6.0,1.0,9.0,156.42149631190728,Unhealthy
2023-07-31,123.0,80.0,9.0,5.0,1.0,8.0,185.85247629083244,Unhealthy
2023-08-01,98.0,68.0,6.0,4.0,1.0,9.0,172.94415173867228,Unhealthy
2023-08-02,103.0,67.0,8.0,4.0,1.0,9.0,175.5258166491043,Unhealthy
2023-08-03,111.0,73.0,17.0,7.0,1.0,10.0,179.65648050579557,Unhealthy
2023-08-04,122.0,66.0,4.0,8.0,1.0,8.0,185.33614330874605,Unhealthy
2023-08-05,113.0,73.0,5.0,5.0,1.0,3.0,180.6891464699684,Unhealthy
2023-08-06,113.0,79.0,7.0,4.0,1.0,8.0,180.6891464699684,Unhealthy
2023-08-07,121.0,88.0,6.0,3.0,1.0,8.0,184.81981032665965,Unhealthy
2023-08-08,112.0,110.0,6.0,6.0,1.0,9.0,180.172813487882,Unhealthy
2023-08-09,127.0,95.0,10.0,5.0,1.0,9.0,187.91780821917808,Unhealthy
2023-08-10,112.0,95.0,11.0,5.0,1.0,8.0,180.172813487882,Unhealthy
2023-08-11,115.0,91.0,9.0,4.0,1.0,6.0,181.7218124341412,Unhealthy
2023-08-12,100.0,75.0,10.0,3.0,1.0,7.0,173.9768177028451,Unhealthy
2023-08-13,85.0,84.0,13.0,6.0,1.0,9.0,166.231822971549,Unhealthy
