date,pm25,pm10,o3,no2,so2,co,AQI,Classification
2023-07-01,65.0,17.0,24.0,7.0,2.0,5.0,155.90516332982085,Unhealthy
2023-07-02,59.0,14.0,33.0,6.0,2.0,5.0,152.80716543730242,Unhealthy
2023-07-03,53.0,18.0,26.0,10.0,2.0,5.0,144.09045226130655,Unhealthy for Sensitive Groups
2023-07-04,55.0,22.0,41.0,8.0,2.0,5.0,149.01507537688445,Unhealthy for Sensitive Groups
2023-07-06,54.0,21.0,31.0,3.0,2.0,5.0,146.55276381909547,Unhealthy for Sensitive Groups
2023-07-07,54.0,19.0,36.0,3.0,2.0,5.0,146.55276381909547,Unhealthy for Sensitive Groups
2023-07-08,62.0,18.0,37.0,3.0,2.0,5.0,154.35616438356163,Unhealthy
2023-07-09,54.0,20.0,47.0,4.0,2.0,5.0,146.55276381909547,Unhealthy for Sensitive Groups
2023-07-10,54.0,19.0,46.0,4.0,2.0,5.0,146.55276381909547,Unhealthy for Sensitive Groups
2023-07-11,44.0,20.0,55.0,4.0,2.0,6.0,121.92964824120602,Unhealthy for Sensitive Groups
2023-07-12,54.0,22.0,53.0,4.0,2.0,5.0,146.55276381909547,Unhealthy for Sensitive Groups
2023-07-13,58.0,29.0,95.0,6.0,2.0,6.0,174.21052631578948,Unhealthy
2023-07-14,74.0,50.0,103.0,11.0,3.0,6.0,194.8421052631579,Unhealthy
2023-07-15,104.0,24.0,34.0,5.0,2.0,6.0,176.04214963119074,Unhealthy
2023-07-16,72.0,13.0,23.0,1.0,2.0,5.0,159.5194942044257,Unhealthy
2023-07-17,46.0,21.0,25.0,7.0,2.0,6.0,126.85427135678393,Unhealthy for Sensitive Groups
2023-07-18,61.0,21.0,42.0,8.0,2.0,6.0,153.83983140147524,Unhealthy
2023-07-24,50.0,31.0,75.0,6.0,2.0,4.0,136.7035175879397,Unhealthy for Sensitive Groups
2023-07-25,61.0,43.0,87.0,7.0,2.0,5.0,153.83983140147524,Unhealthy
2023-07-26,92.0,28.0,41.0,4.0,2.0,5.0,169.84615384615384,Unhealthy
2023-07-27,72.0,25.0,46.0,5.0,3.0,5.0,159.5194942044257,Unhealthy
2023-07-28,67.0,29.0,60.0,8.0,2.0,7.0,156.93782929399367,Unhealthy
2023-07-29,80.0,22.0,26.0,8.0,2.0,6.0,163.65015806111697,Unhealthy
2023-07-30,66.0,28.0,59.0,9.0,2.0,7.0,156.42149631190728,Unhealthy
2023-07-31,73.0,24.0,50.0,8.0,3.0,6.0,160.0358271865121,Unhealthy
2023-08-01,68.0,29.0,89.0,6.0,2.0,5.0,158.73684210526315,Unhealthy
2023-08-02,81.0,36.0,130.0,6.0,2.0,6.0,226.2765957446809,Very Unhealthy
2023-08-03,89.0,20.0,51.0,2.0,2.0,6.0,168.29715489989462,Unhealthy
2023-08-04,58.0,22.0,49.0,3.0,2.0,5.0,152.29083245521602,Unhealthy
2023-08-05,64.0,27.0,43.0,3.0,2.0,5.0,155.38883034773446,Unhealthy
2023-08-06,68.0,25.0,50.0,3.0,2.0,5.0,157.4541622760801,Unhealthy
2023-08-07,67.0,22.0,36.0,5.0,2.0,6.0,156.93782929399367,Unhealthy
2023-08-08,65.0,32.0,66.0,7.0,2.0,6.0,155.90516332982085,Unhealthy
2023-08-09,78.0,35.0,25.0,11.0,2.0,6.0,162.61749209694415,Unhealthy
2023-08-10,80.0,20.0,85.0,7.0,2.0,5.0,163.65015806111697,Unhealthy
2023-08-11,61.0,22.0,50.0,7.0,2.0,5.0,153.83983140147524,Unhealthy
2023-08-12,72.0,22.0,52.0,5.0,2.0,5.0,159.5194942044257,Unhealthy
2023-08-13,66.0,30.0,54.0,6.0,2.0,5.0,156.42149631190728,Unhealthy
2023-08-14,74.0,28.0,31.0,8.0,2.0,5.0,160.55216016859853,Unhealthy
2023-08-15,74.0,36.0,66.0,7.0,2.0,5.0,160.55216016859853,Unhealthy
2023-08-16,84.0,36.0,18.0,11.0,2.0,6.0,165.71548998946258,Unhealthy
2023-08-17,87.0,44.0,38.0,18.0,3.0,8.0,167.2644889357218,Unhealthy
2023-08-18,103.0,42.0,102.0,14.0,2.0,7.0,192.26315789473685,Unhealthy
2023-08-19,104.0,25.0,23.0,7.0,2.0,6.0,176.04214963119074,Unhealthy
2023-08-20,71.0,25.0,34.0,12.0,2.0,5.0,159.00316122233932,Unhealthy
2023-08-21,62.0,23.0,55.0,12.0,2.0,6.0,154.35616438356163,Unhealthy
2023-08-22,66.0,25.0,26.0,12.0,2.0,7.0,156.42149631190728,Unhealthy
2023-08-23,67.0,24.0,33.0,12.0,2.0,6.0,156.93782929399367,Unhealthy
2023-08-24,68.0,27.0,29.0,12.0,2.0,6.0,157.4541622760801,Unhealthy
2023-08-25,68.0,35.0,25.0,13.0,2.0,6.0,157.4541622760801,Unhealthy
2023-08-26,80.0,22.0,46.0,6.0,2.0,5.0,163.65015806111697,Unhealthy
2023-08-27,65.0,20.0,46.0,5.0,2.0,4.0,155.90516332982085,Unhealthy
2023-08-28,62.0,20.0,30.0,7.0,2.0,6.0,154.35616438356163,Unhealthy
2023-08-29,68.0,24.0,34.0,5.0,2.0,6.0,157.4541622760801,Unhealthy
2023-08-30,71.0,18.0,34.0,4.0,2.0,6.0,159.00316122233932,Unhealthy
2023-08-31,65.0,26.0,26.0,4.0,2.0,6.0,155.90516332982085,Unhealthy
2023-09-07,56.0,26.0,5.0,15.0,2.0,7.0,151.2581664910432,Unhealthy
2023-09-08,67.0,20.0,32.0,9.0,2.0,6.0,156.93782929399367,Unhealthy
2023-09-09,71.0,16.0,20.0,9.0,2.0,5.0,159.00316122233932,Unhealthy
2023-09-10,58.0,20.0,20.0,11.0,3.0,6.0,152.29083245521602,Unhealthy
2023-09-11,67.0,24.0,46.0,11.0,2.0,6.0,156.93782929399367,Unhealthy
2023-09-12,69.0,25.0,33.0,13.0,2.0,6.0,157.9704952581665,Unhealthy
2023-09-13,63.0,20.0,10.0,11.0,2.0,6.0,154.87249736564806,Unhealthy
2023-09-15,56.0,18.0,63.0,9.0,2.0,5.0,151.2581664910432,Unhealthy
2023-09-16,69.0,24.0,55.0,10.0,2.0,5.0,157.9704952581665,Unhealthy
