date,pm25,pm10,o3,no2,so2,co,AQI,Classification
2023-07-01,75.0,41.0,81.0,11.0,2.0,5.0,161.06849315068493,Unhealthy
2023-07-02,113.0,39.0,75.0,15.0,3.0,5.0,180.6891464699684,Unhealthy
2023-07-03,92.0,32.0,57.0,10.0,2.0,5.0,169.84615384615384,Unhealthy
2023-07-04,91.0,31.0,61.0,10.0,2.0,5.0,169.32982086406744,Unhealthy
2023-07-05,80.0,42.0,66.0,13.0,2.0,5.0,163.65015806111697,Unhealthy
2023-07-06,117.0,36.0,63.0,12.0,2.0,5.0,182.754478398314,Unhealthy
2023-07-07,89.0,32.0,34.0,16.0,3.0,5.0,168.29715489989462,Unhealthy
2023-07-08,80.0,39.0,42.0,13.0,1.0,4.0,163.65015806111697,Unhealthy
2023-07-09,102.0,31.0,34.0,16.0,2.0,4.0,175.00948366701792,Unhealthy
2023-07-10,71.0,42.0,96.0,10.0,2.0,5.0,176.78947368421052,Unhealthy
2023-07-11,93.0,45.0,98.0,10.0,2.0,4.0,181.94736842105263,Unhealthy
2023-07-12,112.0,43.0,82.0,8.0,2.0,5.0,180.172813487882,Unhealthy
2023-07-13,84.0,44.0,97.0,8.0,2.0,4.0,179.3684210526316,Unhealthy
2023-07-14,89.0,35.0,91.0,8.0,2.0,4.0,168.29715489989462,Unhealthy
2023-07-15,79.0,19.0,25.0,7.0,2.0,3.0,163.13382507903054,Unhealthy
2023-07-16,56.0,17.0,21.0,2.0,2.0,2.0,151.2581664910432,Unhealthy
2023-07-17,40.0,14.0,26.0,3.0,2.0,3.0,112.08040201005024,Unhealthy for Sensitive Groups
2023-07-18,43.0,17.0,25.0,6.0,3.0,3.0,119.46733668341707,Unhealthy for Sensitive Groups
2023-07-19,45.0,20.0,17.0,10.0,2.0,3.0,124.39195979899498,Unhealthy for Sensitive Groups
2023-07-20,55.0,24.0,44.0,10.0,2.0,3.0,149.01507537688445,Unhealthy for Sensitive Groups
2023-07-21,68.0,22.0,34.0,9.0,1.0,3.0,157.4541622760801,Unhealthy
2023-07-22,63.0,22.0,41.0,6.0,1.0,3.0,154.87249736564806,Unhealthy
2023-07-23,55.0,32.0,46.0,8.0,2.0,4.0,149.01507537688445,Unhealthy for Sensitive Groups
2023-07-24,71.0,18.0,36.0,4.0,1.0,3.0,159.00316122233932,Unhealthy
2023-07-25,49.0,23.0,24.0,2.0,2.0,2.0,134.24120603015075,Unhealthy for Sensitive Groups
2023-07-26,44.0,19.0,15.0,2.0,3.0,2.0,121.92964824120602,Unhealthy for Sensitive Groups
2023-07-27,40.0,21.0,13.0,2.0,3.0,2.0,112.08040201005024,Unhealthy for Sensitive Groups
2023-07-28,36.0,18.0,12.0,4.0,3.0,2.0,102.23115577889448,Unhealthy for Sensitive Groups
2023-07-29,40.0,17.0,22.0,5.0,2.0,2.0,112.08040201005024,Unhealthy for Sensitive Groups
2023-07-30,42.0,23.0,20.0,6.0,2.0,2.0,117.00502512562814,Unhealthy for Sensitive Groups
2023-07-31,57.0,18.0,17.0,5.0,2.0,2.0,151.77449947312962,Unhealthy
2023-08-01,52.0,21.0,20.0,4.0,1.0,2.0,141.6281407035176,Unhealthy for Sensitive Groups
2023-08-02,61.0,29.0,17.0,4.0,2.0,2.0,153.83983140147524,Unhealthy
2023-08-03,64.0,24.0,16.0,4.0,1.0,3.0,155.38883034773446,Unhealthy
2023-08-04,58.0,24.0,20.0,5.0,2.0,3.0,152.29083245521602,Unhealthy
2023-08-05,64.0,30.0,42.0,9.0,1.0,5.0,155.38883034773446,Unhealthy
